ieee;nwk;model;device_name;entity_id;entity_name;domain;custom_name
a4:6d:d4:ff:fe:50:55:05;0xF150;TRADFRI bulb E14 WS candle 470lm;Dining room Lumi light 2 TRADFRI;number.ikea_tradfri_bulb_e14_lumi_2_start_up_color_temperature_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
a4:6d:d4:ff:fe:50:55:05;0xF150;TRADFRI bulb E14 WS candle 470lm;Dining room Lumi light 2 TRADFRI;select.ikea_tradfri_bulb_e14_lumi_2_start_up_behavior_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;select;
a4:6d:d4:ff:fe:50:55:05;0xF150;TRADFRI bulb E14 WS candle 470lm;Dining room Lumi light 2 TRADFRI;update.tradfri_bulb_e14_lumi_2_ikea_firmware;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;update;
a4:c1:38:00:79:6a:fc:5f;0x556D;TH01;Dinning room temperature and humidity sensor eWeLink;button.ewelink_th01_identify;eWeLink TH01;button;
a4:c1:38:00:79:6a:fc:5f;0x556D;TH01;Dinning room temperature and humidity sensor eWeLink;sensor.ewelink_th01_battery;eWeLink TH01;sensor;
a4:c1:38:00:79:6a:fc:5f;0x556D;TH01;Dinning room temperature and humidity sensor eWeLink;sensor.ewelink_th01_temperature;eWeLink TH01;sensor;
a4:c1:38:00:79:6a:fc:5f;0x556D;TH01;Dinning room temperature and humidity sensor eWeLink;sensor.ewelink_th01_humidity;eWeLink TH01;sensor;
a4:c1:38:00:79:6a:fc:5f;0x556D;TH01;Dinning room temperature and humidity sensor eWeLink;update.ewelink_th01_firmware;eWeLink TH01;update;
a4:c1:38:ff:b7:4f:43:71;0xC542;TS011F;Second floor stairs garland socket TZ3000;button.tz3000_gvn91tmx_ts011f_identify;_TZ3000_gvn91tmx TS011F;button;
a4:c1:38:ff:b7:4f:43:71;0xC542;TS011F;Second floor stairs garland socket TZ3000;select.tz3000_gvn91tmx_ts011f_power_on_state;_TZ3000_gvn91tmx TS011F;select;
